date,sym,spot,open,close
2019-12-02,AACG,1.8,1.8,1.8
2019-12-03,AACG,1.84,1.84,1.84
2019-12-04,AACG,1.79,1.7595,1.7595
2019-12-05,AACG,1.73,1.69,1.69
2019-12-06,AACG,1.72,1.6,1.6
2019-12-09,AACG,1.62,1.6315,1.6315
2019-12-10,AACG,1.61,1.5401,1.5401
2019-12-11,AACG,1.52,1.52,1.52
2019-12-12,AACG,1.47,1.35,1.35
2019-12-16,AACG,1.45,1.52,1.52
2019-12-17,AACG,1.51,1.5,1.5
2019-12-18,AACG,1.47,1.6,1.6
2019-12-19,AACG,1.59,1.68,1.68
2019-12-20,AACG,1.5048,1.58,1.58
2019-12-23,AACG,1.4405,1.515,1.515
2019-12-24,AACG,1.45,1.4101,1.4101
2019-12-26,AACG,1.48,1.47,1.47
2019-12-27,AACG,1.45,1.45,1.45
2019-12-30,AACG,1.42,1.4,1.4
2019-12-31,AACG,1.37,1.41,1.41
2019-12-02,AAL,28.87,28.58,28.58
2019-12-03,AAL,28,27.315,27.315
2019-12-04,AAL,27.5,27.49,27.49
2019-12-05,AAL,27.45,27.1,27.1
2019-12-06,AAL,27.41,27.6337,27.6337
2019-12-09,AAL,27.7,27.73,27.73
2019-12-10,AAL,27.36,27.61,27.61
2019-12-11,AAL,27.09,26.87,26.87
2019-12-12,AAL,27,27.95,27.95
2019-12-13,AAL,28.01,27.53,27.53
2019-12-16,AAL,27.58,28.24,28.24
2019-12-17,AAL,27.61,28.2799,28.2799
2019-12-18,AAL,28.3,28.19,28.19
2019-12-19,AAL,28,28.1605,28.1605
2019-12-20,AAL,28.61,28.8232,28.8232
2019-12-23,AAL,29.14,29.575,29.575
2019-12-24,AAL,29.4899,29.355,29.355
2019-12-26,AAL,29.3,29.35,29.35
2019-12-27,AAL,29.83,28.835,28.835
2019-12-30,AAL,28.41,28.305,28.305
2019-12-31,AAL,28.3,28.34,28.34
2019-12-03,AAME,1.48,1.72,1.72
2019-12-04,AAME,1.8,1.8,1.8
2019-12-05,AAME,1.7,1.69,1.69
2019-12-09,AAME,1.99,2,2
2019-12-10,AAME,2,1.7519,1.7519
2019-12-11,AAME,2,1.76,1.76
2019-12-12,AAME,2.11,2.11,2.11
2019-12-13,AAME,1.92,2.02,2.02
2019-12-16,AAME,1.78,1.83,1.83
2019-12-17,AAME,1.7999,1.8,1.8
2019-12-18,AAME,1.83,1.8,1.8
2019-12-19,AAME,1.87,1.88,1.88
2019-12-20,AAME,2.006,2.006,2.006
2019-12-23,AAME,1.9299,1.8986,1.8986
2019-12-24,AAME,1.89,1.869,1.869
2019-12-26,AAME,1.77,1.77,1.77
2019-12-27,AAME,1.9,1.9,1.9
2019-12-30,AAME,1.85,1.85,1.85
2019-12-31,AAME,1.93,1.9,1.9
2019-12-02,AAOI,10.7,10.4,10.4
2019-12-03,AAOI,10.43,10.17,10.17
2019-12-04,AAOI,10.41,10.5202,10.5202
2019-12-05,AAOI,10.48,10.52,10.52
2019-12-06,AAOI,10.43,10.57,10.57
2019-12-09,AAOI,10.34,10.3,10.3
2019-12-10,AAOI,10.3,10.37,10.37
2019-12-11,AAOI,10.28,10.66,10.66
2019-12-12,AAOI,10.92,11.2301,11.2301
2019-12-13,AAOI,11.67,11.145,11.145
2019-12-16,AAOI,11,11.195,11.195
2019-12-17,AAOI,11.2,11.42,11.42
2019-12-18,AAOI,11.27,11.1345,11.1345
2019-12-19,AAOI,11.16,11.35,11.35
2019-12-20,AAOI,11.3,11.14,11.14
2019-12-23,AAOI,11.17,11.0543,11.0543
2019-12-24,AAOI,11.12,11.05,11.05
2019-12-26,AAOI,11.05,11.1484,11.1484
2019-12-27,AAOI,11.65,11.8189,11.8189
2019-12-30,AAOI,11.52,11.45,11.45
2019-12-31,AAOI,11.56,11.67,11.67
2019-12-02,AAON,49.26,48.505,48.505
2019-12-03,AAON,48.15,48.33,48.33
2019-12-04,AAON,47.85,48.75,48.75
2019-12-05,AAON,48.49,48.77,48.77
2019-12-06,AAON,49.61,50.3,50.3
2019-12-09,AAON,50.3,50.365,50.365
2019-12-10,AAON,49.49,49.23,49.23
2019-12-11,AAON,48.94,49.09,49.09
2019-12-12,AAON,49.55,50.5601,50.5601
2019-12-13,AAON,50.28,49.83,49.83
2019-12-16,AAON,50.4,49.96,49.96
2019-12-17,AAON,49.26,49.98,49.98
2019-12-18,AAON,50,49.39,49.39
2019-12-19,AAON,49.93,49.22,49.22
2019-12-20,AAON,49.57,49.87,49.87
2019-12-23,AAON,50.02,49.4,49.4
2019-12-24,AAON,49.92,49.685,49.685
2019-12-26,AAON,49.91,49.86,49.86
2019-12-27,AAON,49.99,49.755,49.755
2019-12-30,AAON,49.7,49.39,49.39
2019-12-31,AAON,49.39,49.74,49.74
2019-12-02,AAPL,269,264.01,264.01
2019-12-03,AAPL,264.38,256.77,256.77
2019-12-04,AAPL,261.15,262.2247,262.2247
2019-12-05,AAPL,262.45,263.68,263.68
2019-12-06,AAPL,266.6,269.39,269.39
